iter	Passed	Remaining
0	175	17397
1	208	10202
2	236	7646
3	259	6223
4	275	5238
5	296	4645
6	313	4168
7	332	3819
8	350	3546
9	366	3297
10	378	3061
11	394	2890
12	407	2728
13	423	2602
14	442	2506
15	460	2416
16	478	2335
17	493	2248
18	512	2183
19	529	2118
20	552	2079
21	577	2048
22	600	2011
23	629	1992
24	658	1975
25	678	1930
26	697	1885
27	715	1840
28	733	1795
29	754	1759
30	764	1702
31	794	1687
32	828	1682
33	861	1673
34	895	1662
35	928	1651
36	970	1651
37	1003	1637
38	1021	1597
39	1039	1559
40	1063	1529
41	1096	1514
42	1119	1483
43	1140	1451
44	1167	1426
45	1188	1394
46	1204	1358
47	1230	1333
48	1251	1302
49	1273	1273
50	1297	1246
51	1317	1215
52	1337	1185
53	1357	1156
54	1377	1126
55	1394	1095
56	1410	1064
57	1435	1039
58	1463	1017
59	1495	997
60	1531	979
61	1561	957
62	1591	934
63	1620	911
64	1648	887
65	1678	864
66	1710	842
67	1738	818
68	1766	793
69	1794	769
70	1822	744
71	1850	719
72	1871	692
73	1894	665
74	1913	637
75	1937	611
76	1955	584
77	1973	556
78	1991	529
79	2009	502
80	2029	475
81	2048	449
82	2067	423
83	2085	397
84	2103	371
85	2122	345
86	2140	319
87	2161	294
88	2180	269
89	2201	244
90	2219	219
91	2237	194
92	2255	169
93	2273	145
94	2291	120
95	2305	96
96	2319	71
97	2332	47
98	2348	23
99	2362	0
